,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
Envision Academy for Arts & Technology,16870,Envision Academy For Arts & Technology,charter,9-12,407,4,3,Oakland,CA,1069,Alameda County Office of Education,0691051,"1515 Webster Street, 
Oakland, CA  94612",(510) 596-8901,(510) 596-8905,www.envisionacademy.org/,069105110947,37.80452,-122.26815,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,1,4,,5,,4,
Alameda High,1,Alameda High School,public,9-12,1853,9,4,Alameda,CA,1,Alameda Unified School District,0601770,"2201 Encinal Avenue, 
Alameda, CA  94501",(510) 337-7022,(510) 521-4740,http://aus.alamedausd.ca.schoolloop.com/,060177000041,37.764294,-122.24807,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,10,9,,7,,8,
Alternatives in Action,11903,Alternatives in Action,charter,9-12,165,,4,Oakland,CA,1,Alameda Unified School District,0601770,"6221 E 17th Street, 
Oakland, CA  94621",(510) 748-4314,(510) 748-4326,www.alternativesinaction.org,060177008674,37.764496,-122.195404,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Albany High,19,Albany High School,public,9-12,1210,9,4,Albany,CA,2,Albany City Unified School District,0601860,"603 Key Route Boulevard, 
Albany, CA  94706",(510) 558-2500,(510) 559-6584,http://ahs.ausdk12.org/,060186000059,37.89666,-122.29257,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,9,9,,9,,8,
Berkeley High,25,Berkeley High School,public,9-12,3205,8,4,Berkeley,CA,3,Berkeley Unified School District,0604740,"1980 Allston Way, 
Berkeley, CA  94704",(510) 644-6120,(510) 548-4221,http://bhs.berkeleyschools.net/,060474000432,37.86891,-122.2712,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,9,9,,3,,5,
Castro Valley High,43,Castro Valley High School,public,9-12,2977,9,4,Castro Valley,CA,4,Castro Valley Unified School District,0607800,"19400 Santa Maria Avenue, 
Castro Valley, CA  94546",(510) 537-5910,(510) 582-3924,http://www.cv.k12.ca.us,060780000742,37.705185,-122.07847,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10,9,,7,,7,
Emery Secondary,63,Emery Secondary School,public,9-12,183,4,3,Oakland,CA,7,Emery Unified School District,0612630,"1100 47th Street, 
Oakland, CA  94608",(510) 601-4998,,emeryhigh.com,061263001426,37.835667,-122.28124,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,5,4,,4,,4,
American High,66,American High School,public,9-12,2093,10,4,Fremont,CA,8,Fremont Unified School District,0614400,"36300 Fremont Boulevard, 
Fremont, CA  94536",(510) 796-1776,(510) 791-5331,http://www.fremont.k12.ca.us/ahs/,061440001654,37.563644,-122.01747,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,10,10,,8,,9,
Irvington High,85,Irvington High School,public,9-12,2253,9,5,Fremont,CA,8,Fremont Unified School District,0614400,"41800 Blacow Road, 
Fremont, CA  94538",(510) 656-5711,(510) 623-9805,http://www.irvington.org/ihs/index.php,061440001671,37.522655,-121.96902,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,10,10,,6,,8,
John F. Kennedy High,4715,John F. Kennedy High School,public,9-12,2221,6,3,Sacramento,CA,553,Sacramento City Unified School District,0633840,"6715 Gloria Drive, 
Sacramento, CA  95831",(916) 395-5090,(916) 433-5511,www.jfkcougars.net,063384005257,38.505135,-121.53429,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,7,6,,3,,4,
