,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
Envision Academy for Arts & Technology,16870.0,Envision Academy For Arts & Technology,charter,9-12,407.0,4.0,3.0,Oakland,CA,1069.0,Alameda County Office of Education,691051.0,"1515 Webster Street, 
Oakland, CA  94612",(510) 596-8901,(510) 596-8905,www.envisionacademy.org/,69105110947.0,37.804520000000004,-122.26815,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,1.0,4.0,,5.0,,4.0,,21,343,31,100,56500,4,4,4,46,96,47,77,20,96,18,77,100,100,82,83,67
Alameda High,1.0,Alameda High School,public,9-12,1853.0,9.0,4.0,Alameda,CA,1.0,Alameda Unified School District,601770.0,"2201 Encinal Avenue, 
Alameda, CA  94501",(510) 337-7022,(510) 521-4740,http://aus.alamedausd.ca.schoolloop.com/,60177000041.0,37.764294,-122.24807,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,7.0,,8.0,,22,429,90,96,67831,9,8,10,74,392,64,100,58,401,49,104,66,50,95,94,18
Alternatives in Action,11903.0,Alternatives in Action,charter,9-12,165.0,,4.0,Oakland,CA,1.0,Alameda Unified School District,601770.0,"6221 E 17th Street, 
Oakland, CA  94621",(510) 748-4314,(510) 748-4326,www.alternativesinaction.org,60177008674.0,37.764496,-122.19540400000001,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,,,,,,,,13,147,82,67,41722,22,22,22,22,25,22,25,,,,,100,100,51,51,
Albany High,19.0,Albany High School,public,9-12,1210.0,9.0,4.0,Albany,CA,2.0,Albany City Unified School District,601860.0,"603 Key Route Boulevard, 
Albany, CA  94706",(510) 558-2500,(510) 559-6584,http://ahs.ausdk12.org/,60186000059.0,37.89666,-122.29257,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,9.0,,8.0,,18,307,96,98,99680,9,8,10,74,271,66,53,63,274,45,55,63,45,93,92,17
Berkeley High,25.0,Berkeley High School,public,9-12,3205.0,8.0,4.0,Berkeley,CA,3.0,Berkeley Unified School District,604740.0,"1980 Allston Way, 
Berkeley, CA  94704",(510) 644-6120,(510) 548-4221,http://bhs.berkeleyschools.net/,60474000432.0,37.86891,-122.2712,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,3.0,,5.0,,18,296,73,100,68887,9,5,10,68,604,45,180,54,571,27,172,66,50,89,89,28
Castro Valley High,43.0,Castro Valley High School,public,9-12,2977.0,9.0,4.0,Castro Valley,CA,4.0,Castro Valley Unified School District,607800.0,"19400 Santa Maria Avenue, 
Castro Valley, CA  94546",(510) 537-5910,(510) 582-3924,http://www.cv.k12.ca.us,60780000742.0,37.705185,-122.07847,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,7.0,,7.0,,22,323,90,98,80378,9,7,9,70,616,56,144,60,617,51,144,59,41,97,96,20
Emery Secondary,63.0,Emery Secondary School,public,9-12,183.0,4.0,3.0,Oakland,CA,7.0,Emery Unified School District,612630.0,"1100 47th Street, 
Oakland, CA  94608",(510) 601-4998,,emeryhigh.com,61263001426.0,37.835667,-122.28124,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,4.0,,4.0,,14,293,92,100,77174,4,4,4,37,38,41,27,26,38,26,27,32,32,92,97,71
American High,66.0,American High School,public,9-12,2093.0,10.0,4.0,Fremont,CA,8.0,Fremont Unified School District,614400.0,"36300 Fremont Boulevard, 
Fremont, CA  94536",(510) 796-1776,(510) 791-5331,http://www.fremont.k12.ca.us/ahs/,61440001654.0,37.563644000000004,-122.01746999999999,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,8.0,,9.0,,28,465,80,100,98679,10,9,10,87,525,71,103,74,526,57,104,72,56,95,88,22
Irvington High,85.0,Irvington High School,public,9-12,2253.0,9.0,5.0,Fremont,CA,8.0,Fremont Unified School District,614400.0,"41800 Blacow Road, 
Fremont, CA  94538",(510) 656-5711,(510) 623-9805,http://www.irvington.org/ihs/index.php,61440001671.0,37.522655,-121.96902,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,6.0,,8.0,,26,567,88,100,90170,10,8,10,84,495,62,77,73,496,44,78,72,46,94,90,16
John F. Kennedy High,4715.0,John F. Kennedy High School,public,9-12,2221.0,6.0,3.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"6715 Gloria Drive, 
Sacramento, CA  95831",(916) 395-5090,(916) 433-5511,www.jfkcougars.net,63384005257.0,38.505134999999996,-121.53428999999998,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,3.0,,4.0,,24,423,92,95,59481,6,4,8,52,532,41,328,35,532,27,328,47,38,91,89,61
Mission San Jose High,94.0,Mission San Jose High School,public,9-12,2069.0,10.0,4.0,Fremont,CA,8.0,Fremont Unified School District,614400.0,"41717 Palm Avenue, 
Fremont, CA  94539",(510) 657-3600,(510) 657-2302,http://www.msjhs.org/home.html,61440001678.0,37.54504,-121.93193000000001,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/94-Mission-San-Jose-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,,,10.0,,27,519,86,100,98429,10,10,10,94,474,86,28,94,476,82,28,92,61,95,68,4
