,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Envision Academy for Arts & Technology,16870.0,Envision Academy For Arts & Technology,charter,9-12,407.0,4.0,3.0,Oakland,CA,1069.0,Alameda County Office of Education,691051.0,"1515 Webster Street, 
Oakland, CA  94612",(510) 596-8901,(510) 596-8905,www.envisionacademy.org/,69105110947.0,37.80452,-122.26815,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/16870-Envision-Academy-For-Arts-&-Technology/?utm_source=GSAPI&utm_medium=referral,1.0,4.0,,5.0,,4.0,,21.0,343.0,31.0,100.0,56500.0,4.0,4.0,4.0,46.0,96.0,47.0,77.0,20.0,96.0,18.0,77.0,100.0,100.0,82.0,83.0,67.0,94612.0,Envision Academy for Arts & Technology
Alameda High,1.0,Alameda High School,public,9-12,1853.0,9.0,4.0,Alameda,CA,1.0,Alameda Unified School District,601770.0,"2201 Encinal Avenue, 
Alameda, CA  94501",(510) 337-7022,(510) 521-4740,http://aus.alamedausd.ca.schoolloop.com/,60177000041.0,37.764294,-122.24807,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/alameda/1-Alameda-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,7.0,,8.0,,22.0,429.0,90.0,96.0,67831.0,9.0,8.0,10.0,74.0,392.0,64.0,100.0,58.0,401.0,49.0,104.0,66.0,50.0,95.0,94.0,18.0,94501.0,Alameda High
Alternatives in Action,11903.0,Alternatives in Action,charter,9-12,165.0,,4.0,Oakland,CA,1.0,Alameda Unified School District,601770.0,"6221 E 17th Street, 
Oakland, CA  94621",(510) 748-4314,(510) 748-4326,www.alternativesinaction.org,60177008674.0,37.764496,-122.195404,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/11903-Alternatives-In-Action/?utm_source=GSAPI&utm_medium=referral,,,,,,,,13.0,147.0,82.0,67.0,41722.0,22.0,22.0,22.0,22.0,25.0,22.0,25.0,,,,,100.0,100.0,51.0,51.0,,94621.0,Alternatives in Action
Albany High,19.0,Albany High School,public,9-12,1210.0,9.0,4.0,Albany,CA,2.0,Albany City Unified School District,601860.0,"603 Key Route Boulevard, 
Albany, CA  94706",(510) 558-2500,(510) 559-6584,http://ahs.ausdk12.org/,60186000059.0,37.89666,-122.29257,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/albany/19-Albany-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,9.0,,8.0,,18.0,307.0,96.0,98.0,99680.0,9.0,8.0,10.0,74.0,271.0,66.0,53.0,63.0,274.0,45.0,55.0,63.0,45.0,93.0,92.0,17.0,94706.0,Albany High
Berkeley High,25.0,Berkeley High School,public,9-12,3205.0,8.0,4.0,Berkeley,CA,3.0,Berkeley Unified School District,604740.0,"1980 Allston Way, 
Berkeley, CA  94704",(510) 644-6120,(510) 548-4221,http://bhs.berkeleyschools.net/,60474000432.0,37.86891,-122.2712,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/berkeley/25-Berkeley-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,3.0,,5.0,,18.0,296.0,73.0,100.0,68887.0,9.0,5.0,10.0,68.0,604.0,45.0,180.0,54.0,571.0,27.0,172.0,66.0,50.0,89.0,89.0,28.0,94704.0,Berkeley High
Castro Valley High,43.0,Castro Valley High School,public,9-12,2977.0,9.0,4.0,Castro Valley,CA,4.0,Castro Valley Unified School District,607800.0,"19400 Santa Maria Avenue, 
Castro Valley, CA  94546",(510) 537-5910,(510) 582-3924,http://www.cv.k12.ca.us,60780000742.0,37.705185,-122.07847,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/castro-valley/43-Castro-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,7.0,,7.0,,22.0,323.0,90.0,98.0,80378.0,9.0,7.0,9.0,70.0,616.0,56.0,144.0,60.0,617.0,51.0,144.0,59.0,41.0,97.0,96.0,20.0,94546.0,Castro Valley High
Emery Secondary,63.0,Emery Secondary School,public,9-12,183.0,4.0,3.0,Oakland,CA,7.0,Emery Unified School District,612630.0,"1100 47th Street, 
Oakland, CA  94608",(510) 601-4998,,emeryhigh.com,61263001426.0,37.835667,-122.28124,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oakland/63-Emery-Secondary-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,4.0,,4.0,,14.0,293.0,92.0,100.0,77174.0,4.0,4.0,4.0,37.0,38.0,41.0,27.0,26.0,38.0,26.0,27.0,32.0,32.0,92.0,97.0,71.0,94608.0,Emery Secondary
American High,66.0,American High School,public,9-12,2093.0,10.0,4.0,Fremont,CA,8.0,Fremont Unified School District,614400.0,"36300 Fremont Boulevard, 
Fremont, CA  94536",(510) 796-1776,(510) 791-5331,http://www.fremont.k12.ca.us/ahs/,61440001654.0,37.563644,-122.01747,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/66-American-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,8.0,,9.0,,28.0,465.0,80.0,100.0,98679.0,10.0,9.0,10.0,87.0,525.0,71.0,103.0,74.0,526.0,57.0,104.0,72.0,56.0,95.0,88.0,22.0,94536.0,American High
Irvington High,85.0,Irvington High School,public,9-12,2253.0,9.0,5.0,Fremont,CA,8.0,Fremont Unified School District,614400.0,"41800 Blacow Road, 
Fremont, CA  94538",(510) 656-5711,(510) 623-9805,http://www.irvington.org/ihs/index.php,61440001671.0,37.522655,-121.96902,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fremont/85-Irvington-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,6.0,,8.0,,26.0,567.0,88.0,100.0,90170.0,10.0,8.0,10.0,84.0,495.0,62.0,77.0,73.0,496.0,44.0,78.0,72.0,46.0,94.0,90.0,16.0,94538.0,Irvington High
John F. Kennedy High,4715.0,John F. Kennedy High School,public,9-12,2221.0,6.0,3.0,Sacramento,CA,553.0,Sacramento City Unified School District,633840.0,"6715 Gloria Drive, 
Sacramento, CA  95831",(916) 395-5090,(916) 433-5511,www.jfkcougars.net,63384005257.0,38.505135,-121.53428999999998,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4715-John-F.-Kennedy-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,3.0,,4.0,,24.0,423.0,92.0,95.0,59481.0,6.0,4.0,8.0,52.0,532.0,41.0,328.0,35.0,532.0,27.0,328.0,47.0,38.0,91.0,89.0,61.0,95831.0,John F. Kennedy High
